123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T12:45:11.839+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T12:45:11.866+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:01:48.403+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:01:48.435+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:02:44.451+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:02:44.479+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:04:15.795+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:04:15.824+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:05:00.692+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:05:00.722+05:00
123,/article/do-these-photographs-show-pti-imran-khan-jail-cell-pakistan/123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36,2023-09-29T13:06:32.486+05:00
